"x";"HAADF";"Co";"Ni";"Ru"
"Position";"Intensity";"Atomic fraction";"Atomic fraction";"Atomic fraction"
"m";"Counts";"mol/mol";"mol/mol";"mol/mol"
1.366051e-08;3.543282e+04;4.038975e-01;4.687712e-01;1.273315e-01
1.375344e-08;3.543945e+04;4.103417e-01;4.669931e-01;1.226653e-01
1.384637e-08;3.544136e+04;4.154993e-01;4.585882e-01;1.259124e-01
1.393930e-08;3.545115e+04;4.115926e-01;4.580081e-01;1.303989e-01
1.403223e-08;3.545939e+04;4.141558e-01;4.596315e-01;1.262123e-01
1.412516e-08;3.546446e+04;4.103015e-01;4.665826e-01;1.231158e-01
1.421808e-08;3.546644e+04;4.055312e-01;4.672500e-01;1.272190e-01
1.431101e-08;3.547637e+04;4.081794e-01;4.664336e-01;1.253867e-01
1.440394e-08;3.548381e+04;4.118909e-01;4.638091e-01;1.243000e-01
1.449687e-08;3.548071e+04;4.121034e-01;4.622782e-01;1.256189e-01
1.458980e-08;3.548541e+04;4.121475e-01;4.595431e-01;1.283095e-01
1.468273e-08;3.548757e+04;4.080358e-01;4.680348e-01;1.239294e-01
1.477566e-08;3.549130e+04;4.094314e-01;4.676650e-01;1.229039e-01
1.486858e-08;3.549182e+04;4.120890e-01;4.665528e-01;1.213584e-01
1.496151e-08;3.549791e+04;4.112735e-01;4.631611e-01;1.255656e-01
1.505444e-08;3.549598e+04;4.075251e-01;4.657979e-01;1.266769e-01
1.514737e-08;3.549570e+04;4.088188e-01;4.699538e-01;1.212269e-01
1.524030e-08;3.549589e+04;4.075828e-01;4.667158e-01;1.257010e-01
1.533323e-08;3.550753e+04;4.068436e-01;4.641501e-01;1.290061e-01
1.542616e-08;3.550175e+04;4.082086e-01;4.622662e-01;1.295255e-01
1.551908e-08;3.550538e+04;4.063130e-01;4.643212e-01;1.293659e-01
1.561201e-08;3.550281e+04;4.048180e-01;4.653559e-01;1.298256e-01
1.570494e-08;3.550166e+04;4.091641e-01;4.618380e-01;1.289979e-01
1.579787e-08;3.550235e+04;4.099764e-01;4.616660e-01;1.283577e-01
1.589080e-08;3.549926e+04;4.095865e-01;4.609250e-01;1.294887e-01
1.598373e-08;3.549812e+04;4.092290e-01;4.582784e-01;1.324924e-01
1.607666e-08;3.549716e+04;4.037201e-01;4.647071e-01;1.315728e-01
1.616959e-08;3.549978e+04;4.150803e-01;4.646356e-01;1.202841e-01
1.626251e-08;3.550021e+04;4.139284e-01;4.607880e-01;1.252834e-01
1.635544e-08;3.549741e+04;4.083365e-01;4.608457e-01;1.308175e-01
1.644837e-08;3.549701e+04;4.069551e-01;4.607872e-01;1.322575e-01
1.654130e-08;3.549602e+04;4.097013e-01;4.612111e-01;1.290877e-01
